project,round,provisional,eliminated_rules,introduced_rules,sibling_edge_count,has_unresolved_sibling_exchange,interpretation
ace_ets_module_swiper_api11,1,False,"{'@performance/hp-arkui-avoid-empty-callback': 1, '@performance/hp-arkui-remove-redundant-state-var': 32, '@performance/hp-arkui-remove-unchanged-state-var': 25, '@performance/hp-arkui-set-cache-count-for-lazyforeach-grid': 84, '@performance/hp-arkui-use-onAnimationStart-for-swiper-preload': 120, '@performance/hp-arkui-use-reusable-component': 130}",{'@performance/hp-arkui-no-func-as-arg-for-reusable-component': 13},19,True,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
acts_validator,1,False,"{'@performance/hp-arkui-avoid-empty-callback': 106, '@performance/hp-arkui-load-on-demand': 1, '@performance/hp-arkui-no-stringify-in-lazyforeach-key-generator': 1, '@performance/hp-arkui-remove-container-without-property': 81, '@performance/hp-arkui-remove-redundant-state-var': 384, '@performance/hp-arkui-remove-unchanged-state-var': 499, '@performance/hp-arkui-set-cache-count-for-lazyforeach-grid': 1, '@performance/hp-arkui-use-reusable-component': 1, '@performance/hp-performance-no-closures': 48}","{'@performance/hp-arkui-set-cache-count-for-lazyforeach-grid': 1, '@performance/hp-arkui-suggest-reuseid-for-if-else-reusable-component': 1, '@performance/hp-arkui-use-reusable-component': 1}",14,True,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
acts_validator,5,False,{'@performance/hp-arkui-suggest-reuseid-for-if-else-reusable-component': 3},{'@performance/hp-arkui-replace-nested-reusable-component-by-builder': 1},0,False,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
applications_photos,1,False,"{'@performance/hp-arkui-no-state-var-access-in-loop': 7, '@performance/hp-arkui-no-stringify-in-lazyforeach-key-generator': 5, '@performance/hp-arkui-remove-container-without-property': 6, '@performance/hp-arkui-remove-redundant-nest-container': 4, '@performance/hp-arkui-remove-redundant-state-var': 31, '@performance/hp-arkui-remove-unchanged-state-var': 29, '@performance/hp-arkui-set-cache-count-for-lazyforeach-grid': 5, '@performance/hp-arkui-use-reusable-component': 2, '@performance/hp-arkui-use-row-column-to-replace-flex': 1}","{'@performance/hp-arkui-replace-nested-reusable-component-by-builder': 1, '@performance/hp-arkui-suggest-reuseid-for-if-else-reusable-component': 2, '@performance/hp-arkui-use-attributeUpdater-control-refresh-scope': 3}",7,True,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
applications_systemui,1,False,"{'@performance/hp-arkui-remove-container-without-property': 3, '@performance/hp-arkui-remove-redundant-nest-container': 1, '@performance/hp-arkui-remove-redundant-state-var': 25, '@performance/hp-arkui-remove-unchanged-state-var': 22, '@performance/hp-arkui-suggest-use-effectkit-blur': 1, '@performance/hp-arkui-use-row-column-to-replace-flex': 3, '@performance/hp-performance-no-dynamic-cls-func': 14}",{'@performance/hp-performance-no-closures': 1},1,True,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
audio_suite,1,False,"{'@performance/foreach-args-check': 21, '@performance/high-frequency-log-check': 2, '@performance/hp-arkui-no-state-var-access-in-loop': 11, '@performance/hp-arkui-remove-container-without-property': 38, '@performance/hp-arkui-remove-redundant-state-var': 34, '@performance/hp-arkui-remove-unchanged-state-var': 25, '@performance/hp-arkui-use-local-var-to-replace-state-var': 10, '@performance/hp-performance-no-closures': 1, '@performance/init-list-component': 4, '@performance/multiple-associations-state-var-check': 8, '@performance/reuse-date-instances-check': 3, '@security/no-commented-code': 35, '@security/no-unsafe-hash': 1}",{'@performance/foreach-index-check': 10},24,True,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
audio_suite,3,False,"{'@performance/avoid-overusing-custom-component-check': 10, '@performance/init-list-component': 1}",{'@performance/foreach-index-check': 1},0,False,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
bluetoothtest,1,False,"{'@performance/hp-arkui-avoid-empty-callback': 1, '@performance/hp-arkui-no-state-var-access-in-loop': 23, '@performance/hp-arkui-remove-container-without-property': 7, '@performance/hp-arkui-remove-redundant-nest-container': 1, '@performance/hp-arkui-remove-redundant-state-var': 235, '@performance/hp-arkui-remove-unchanged-state-var': 199, '@performance/hp-arkui-use-id-in-get-resource-sync-api': 1, '@performance/hp-arkui-use-row-column-to-replace-flex': 4, '@performance/hp-performance-no-closures': 22}",{'@performance/hp-arkui-use-row-column-to-replace-flex': 1},1,True,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
bluetoothtest,2,False,{'@performance/hp-arkui-use-row-column-to-replace-flex': 1},{'@performance/hp-arkui-remove-container-without-property': 1},1,True,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
flutter_embedding,2,False,{'@performance/avoid-overusing-custom-component-check': 2},{'@security/no-commented-code': 1},0,False,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
ohos_mail_base,1,False,"{'@performance/dark-color-mode-check': 2, '@performance/foreach-args-check': 1, '@performance/hp-arkui-avoid-empty-callback': 1, '@performance/hp-arkui-remove-redundant-state-var': 3, '@performance/hp-arkui-remove-unchanged-state-var': 4, '@performance/hp-arkui-use-id-in-get-resource-sync-api': 3, '@performance/hp-performance-no-closures': 5, '@performance/hp-performance-no-dynamic-cls-func': 3, '@performance/init-list-component': 1, '@performance/js-code-cache-by-precompile-check': 1, '@performance/multiple-associations-state-var-check': 2, '@performance/reuse-date-instances-check': 4, '@security/no-commented-code': 104, '@security/no-cycle': 3}",{'@performance/hp-performance-no-closures': 1},1,True,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
shopping,1,False,"{'@performance/dark-color-mode-check': 1, '@performance/hp-arkui-remove-container-without-property': 3, '@performance/hp-arkui-remove-redundant-nest-container': 1, '@performance/hp-arkui-remove-redundant-state-var': 20, '@performance/hp-arkui-remove-unchanged-state-var': 24, '@performance/hp-arkui-use-row-column-to-replace-flex': 25, '@performance/multiple-associations-state-var-check': 8, '@security/no-commented-code': 18}",{'@performance/hp-arkui-remove-redundant-nest-container': 5},6,True,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
wifi_testapp,1,False,"{'@performance/hp-arkui-avoid-empty-callback': 1, '@performance/hp-arkui-no-state-var-access-in-loop': 19, '@performance/hp-arkui-remove-container-without-property': 4, '@performance/hp-arkui-remove-redundant-state-var': 473, '@performance/hp-arkui-remove-unchanged-state-var': 466, '@performance/hp-arkui-use-id-in-get-resource-sync-api': 2, '@performance/hp-arkui-use-local-var-to-replace-state-var': 21, '@performance/hp-arkui-use-row-column-to-replace-flex': 5}",{'@performance/hp-arkui-use-local-var-to-replace-state-var': 8},3,True,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
