result_kind,order,judge_blind_id,source_blind_id,category,rule,author_1_label,author_2_label,agreement,adjudicated_label,final_label,strict_correct
human_candidate,22,JDG-022,V14-035,security,@security/no-cycle,Correct,Correct,True,,Correct,True
human_candidate,23,JDG-023,V14-025,performance,@performance/hp-arkui-image-async-load,Correct,Correct,True,,Correct,True
human_candidate,24,JDG-024,V14-037,performance,@performance/js-code-cache-by-precompile-check,Correct,Correct,True,,Correct,True
human_candidate,25,JDG-025,V14-054,security,@security/no-unsafe-dsa-key,Correct,Correct,True,,Correct,True
human_candidate,26,JDG-026,V14-049,performance,@performance/hp-arkui-no-state-var-access-in-loop,Correct,Correct,True,,Correct,True
human_candidate,27,JDG-027,V14-043,performance,@performance/waterflow-data-preload-check,Correct,Correct,True,,Correct,True
human_candidate,28,JDG-028,V14-052,performance,@performance/hp-arkui-remove-redundant-nest-container,Correct,Correct,True,,Correct,True
human_candidate,29,JDG-029,V14-050,security,@security/no-unsafe-sm2-cipher,Correct,Correct,True,,Correct,True
human_candidate,30,JDG-030,V14-061,performance,@performance/hp-arkui-suggest-reuseid-for-if-else-reusable-component,Correct,Correct,True,,Correct,True
human_candidate,31,JDG-031,V14-015,security,@security/no-commented-code,Correct,Correct,True,,Correct,True
human_candidate,32,JDG-032,V14-051,performance,@performance/hp-arkui-use-reusable-component,Correct,Correct,True,,Correct,True
human_candidate,33,JDG-033,V14-062,arkts_eslint,@hw-ets-eslint/init-list-component,Correct,Correct,True,,Correct,True
human_candidate,34,JDG-034,V14-048,performance,@performance/reuse-date-instances-check,Correct,Correct,True,,Correct,True
human_candidate,35,JDG-035,V14-039,security,@security/no-unsafe-aes,Correct,Correct,True,,Correct,True
human_candidate,36,JDG-036,V14-034,performance,@performance/multiple-associations-state-var-check,Correct,Correct,True,,Correct,True
human_candidate,37,JDG-037,V14-028,security,@security/no-unsafe-huks,Correct,Correct,True,,Correct,True
human_candidate,38,JDG-038,V14-046,performance,@performance/lottie-animation-destroy-check,Correct,Correct,True,,Correct,True
human_candidate,39,JDG-039,V14-005,security,@security/no-unsafe-dh-key,Correct,Correct,True,,Correct,True
human_candidate,40,JDG-040,V14-026,performance,@performance/hp-arkui-avoid-update-auto-state-var-in-aboutToReuse,Correct,Correct,True,,Correct,True
human_candidate,41,JDG-041,V14-006,security,@security/no-unsafe-dh,Correct,Correct,True,,Correct,True
human_candidate,42,JDG-042,V14-057,security,@security/no-unsafe-3des,Correct,Correct,True,,Correct,True
human_candidate,43,JDG-043,V14-020,performance,@performance/hp-arkui-no-stringify-in-lazyforeach-key-generator,Correct,Correct,True,,Correct,True
human_candidate,44,JDG-044,V14-055,performance,@performance/no-high-loaded-frame-rate-range,Correct,Correct,True,,Correct,True
human_candidate,45,JDG-045,V14-004,security,@security/no-unsafe-mac,Correct,Correct,True,,Correct,True
human_candidate,46,JDG-046,V14-047,performance,@performance/timezone-interface-check,Correct,Correct,True,,Correct,True
human_candidate,47,JDG-047,V14-008,performance,@performance/high-frequency-log-check,Correct,Correct,True,,Correct,True
human_candidate,48,JDG-048,V14-013,performance,@performance/foreach-index-check,Correct,Correct,True,,Correct,True
human_candidate,49,JDG-049,V14-060,security,@security/no-unsafe-rsa-sign,Correct,Correct,True,,Correct,True
human_candidate,50,JDG-050,V14-053,security,@security/no-unsafe-hash,Correct,Correct,True,,Correct,True
human_candidate,51,JDG-051,V14-058,performance,@performance/hp-arkui-remove-redundant-state-var,Correct,Correct,True,,Correct,True
human_candidate,52,JDG-052,V14-002,performance,@performance/hp-performance-no-closures,Correct,Correct,True,,Correct,True
human_candidate,53,JDG-053,V14-023,performance,@performance/hp-arkui-use-row-column-to-replace-flex,Correct,Correct,True,,Correct,True
human_candidate,54,JDG-054,V14-011,performance,@performance/hp-arkui-set-cache-count-for-lazyforeach-grid,Correct,Correct,True,,Correct,True
human_candidate,55,JDG-055,V14-016,performance,@performance/dark-color-mode-check,Correct,Correct,True,,Correct,True
human_candidate,56,JDG-056,V14-042,performance,@performance/hp-arkui-use-scale-to-replace-attr-animateto,Correct,Correct,True,,Correct,True
human_candidate,57,JDG-057,V14-014,performance,@performance/hp-arkui-use-grid-layout-options,Correct,Correct,True,,Correct,True
human_candidate,58,JDG-058,V14-019,security,@security/no-unsafe-ecdh,Correct,Correct,True,,Correct,True
human_candidate,59,JDG-059,V14-032,performance,@performance/hp-arkui-suggest-cache-avplayer,Correct,Correct,True,,Correct,True
human_candidate,60,JDG-060,V14-009,performance,@performance/constant-property-referencing-check-in-loops,Correct,Correct,True,,Correct,True
automatic_generation_failure,61,,V14-030,performance,@performance/avoid-overusing-custom-component-check,,,,,GenerationFailure,False
automatic_generation_failure,62,,V14-001,performance,@performance/hp-arkui-combine-same-arg-animateto,,,,,GenerationFailure,False
automatic_generation_failure,63,,V14-029,security,@security/no-unsafe-rsa-encrypt,,,,,GenerationFailure,False
