repeat,project,stratum,initial_alerts,skill_status,baseline_status,skill_failure_class,baseline_failure_class,skill_final_alerts_itt,baseline_final_alerts_itt,skill_net_reduction_itt,baseline_net_reduction_itt,skill_introduced_alerts_itt,baseline_introduced_alerts_itt,final_alert_benefit,net_reduction_benefit,introduced_alert_benefit,acceptable_candidate_benefit
1,flutter_embedding,middle,123,completed,failed,accepted_candidate,structural_or_api_guard_exhaustion,24,123,99,0,0,0,99,99,0,1
1,ohos_cordova,low,26,completed,failed,accepted_candidate,structural_or_api_guard_exhaustion,7,26,19,0,0,0,19,19,0,1
1,ohos_dfu_library,middle,167,completed,failed,accepted_candidate,structural_or_api_guard_exhaustion,0,167,167,0,0,0,167,167,0,1
1,ohos_mail_base,middle,142,completed,completed,accepted_candidate,accepted_candidate,0,0,142,142,0,0,0,0,0,0
1,shopping,middle,117,completed,failed,accepted_candidate,structural_or_api_guard_exhaustion,0,117,117,0,0,0,117,117,0,1
1,wifi_testapp,high,1074,completed,completed,accepted_candidate,accepted_candidate,0,0,1074,1074,0,0,0,0,0,0
2,CanvasTest,low,23,completed,completed,accepted_candidate,accepted_candidate,0,0,23,23,0,0,0,0,0,0
2,HealthyPotAssistant,low,56,completed,completed,accepted_candidate,accepted_candidate,0,0,56,56,0,0,0,0,0,0
2,Image,high,1195,completed,completed,accepted_candidate,accepted_candidate,6,1,1189,1194,1,0,-5,-5,-1,0
2,Info,high,485,completed,completed,accepted_candidate,accepted_candidate,0,0,485,485,0,0,0,0,0,0
2,JS_dialog_box_static,middle,100,completed,completed,accepted_candidate,accepted_candidate,0,0,100,100,0,0,0,0,0,0
2,PullLinking,low,1,completed,completed,accepted_candidate,accepted_candidate,0,0,1,1,0,0,0,0,0,0
2,TextComponentTest,high,729,completed,completed,accepted_candidate,accepted_candidate,0,0,729,729,0,0,0,0,0,0
2,YFree_HarmonyOS,low,40,completed,completed,accepted_candidate,accepted_candidate,0,0,40,40,0,0,0,0,0,0
2,ace_ets_component_common_attrss_flex001,low,72,completed,completed,accepted_candidate,accepted_candidate,0,0,72,72,0,0,0,0,0,0
2,ace_ets_component_common_attrss_flex_nowear,low,72,completed,completed,accepted_candidate,accepted_candidate,0,0,72,72,0,0,0,0,0,0
2,ace_ets_module_RouteManagement_api12,middle,84,completed,completed,accepted_candidate,accepted_candidate,0,0,84,84,0,0,0,0,0,0
2,ace_ets_module_commonAttrsLayout_api11,low,83,completed,completed,accepted_candidate,accepted_candidate,0,0,83,83,0,0,0,0,0,0
2,ace_ets_module_imageText_api12,high,434,completed,completed,accepted_candidate,accepted_candidate,0,0,434,434,0,0,0,0,0,0
2,ace_ets_module_imageText_api16,low,76,completed,completed,accepted_candidate,accepted_candidate,0,0,76,76,0,0,0,0,0,0
2,ace_ets_module_navigation1,middle,89,completed,completed,accepted_candidate,accepted_candidate,0,0,89,89,0,0,0,0,0,0
2,ace_ets_module_navigation_api12,high,452,completed,completed,accepted_candidate,accepted_candidate,0,0,452,452,0,0,0,0,0,0
2,ace_ets_module_nowear_waterflow,high,471,completed,completed,accepted_candidate,accepted_candidate,0,0,471,471,0,0,0,0,0,0
2,ace_ets_module_router1,middle,99,completed,completed,accepted_candidate,accepted_candidate,0,0,99,99,0,0,0,0,0,0
2,ace_ets_module_scroll_nowear_api12,high,410,completed,completed,accepted_candidate,accepted_candidate,0,0,410,410,0,0,0,0,0,0
2,ace_ets_module_swiper,high,457,completed,completed,accepted_candidate,accepted_candidate,0,0,457,457,0,0,0,0,0,0
2,ace_ets_module_swiper_api11,high,392,completed,completed,accepted_candidate,accepted_candidate,0,0,392,392,0,0,0,0,0,0
2,acts_validator,high,1122,completed,completed,accepted_candidate,accepted_candidate,1,1,1121,1121,1,1,0,0,0,0
2,applications_permission_manager,low,80,completed,failed,accepted_candidate,structural_or_api_guard_exhaustion,0,80,80,0,0,0,80,80,0,1
2,applications_photos,middle,96,completed,completed,accepted_candidate,accepted_candidate,2,2,94,94,2,2,0,0,0,0
2,applications_systemui,low,74,completed,failed,accepted_candidate,structural_or_api_guard_exhaustion,0,74,74,0,0,0,74,74,0,1
2,asn1_ber,middle,325,completed,completed,accepted_candidate,accepted_candidate,0,0,325,325,0,0,0,0,0,0
2,audio_suite,middle,214,completed,failed,accepted_candidate,structural_or_api_guard_exhaustion,1,214,213,0,1,0,213,213,-1,1
2,bluetoothtest,high,493,completed,completed,accepted_candidate,accepted_candidate,0,0,493,493,0,0,0,0,0,0
2,cameraAnimSample,low,11,completed,completed,accepted_candidate,accepted_candidate,0,0,11,11,0,0,0,0,0,0
2,flutter_embedding,middle,123,completed,failed,accepted_candidate,structural_or_api_guard_exhaustion,23,123,100,0,0,0,100,100,0,1
2,ohos_cordova,low,26,completed,completed,accepted_candidate,accepted_candidate,0,0,26,26,0,0,0,0,0,0
2,ohos_dfu_library,middle,167,completed,failed,accepted_candidate,structural_or_api_guard_exhaustion,0,167,167,0,0,0,167,167,0,1
2,ohos_mail_base,middle,142,completed,completed,accepted_candidate,accepted_candidate,0,0,142,142,0,0,0,0,0,0
2,shopping,middle,117,completed,completed,accepted_candidate,accepted_candidate,0,0,117,117,0,0,0,0,0,0
2,wifi_testapp,high,1074,completed,completed,accepted_candidate,accepted_candidate,0,0,1074,1074,0,0,0,0,0,0
